423
time,lat,lon,elevation
2019-08-10T17:00:00.000Z,60.377625,5.328243,56.2
2019-08-10T17:00:05.500Z,60.377940,5.327957,18.2
2019-08-10T17:00:34.750Z,60.377845,5.328030,6.6
2019-08-10T17:00:54.875Z,60.377522,5.329218,9.2
2019-08-10T17:01:10.437Z,60.377170,5.330782,10.1
2019-08-10T17:01:23.718Z,60.376908,5.332230,9.5
2019-08-10T17:01:35.859Z,60.376713,5.333428,10.6
2019-08-10T17:01:47.429Z,60.376448,5.334072,11.4
2019-08-10T17:01:58.714Z,60.376063,5.334023,17.3
2019-08-10T17:02:09.857Z,60.375777,5.334868,24.0
2019-08-10T17:02:20.928Z,60.375480,5.335830,31.2
2019-08-10T17:02:31.964Z,60.375017,5.336097,38.3
2019-08-10T17:02:42.982Z,60.374648,5.336258,47.7
2019-08-10T17:02:53.991Z,60.374255,5.336447,53.8
2019-08-10T17:03:04.995Z,60.373877,5.336645,61.2
2019-08-10T17:03:15.997Z,60.373507,5.336798,68.5
2019-08-10T17:03:26.998Z,60.373100,5.336995,72.7
2019-08-10T17:03:37.999Z,60.372702,5.337145,78.1
2019-08-10T17:03:48.999Z,60.372253,5.337318,81.1
2019-08-10T17:03:59.999Z,60.371575,5.337375,59.8
2019-08-10T17:04:10.999Z,60.371140,5.337445,56.1
2019-08-10T17:04:49.999Z,60.371025,5.337478,54.4
2019-08-10T17:05:14.999Z,60.370467,5.337705,55.1
2019-08-10T17:05:32.499Z,60.369763,5.338027,55.9
2019-08-10T17:05:46.749Z,60.369077,5.338388,56.8
2019-08-10T17:05:59.374Z,60.368430,5.338723,57.5
2019-08-10T17:06:11.187Z,60.367703,5.339110,57.8
2019-08-10T17:06:22.593Z,60.366938,5.339562,58.4
2019-08-10T17:06:33.796Z,60.366107,5.340127,58.7
2019-08-10T17:06:44.398Z,60.365390,5.340515,58.5
2019-08-10T17:06:55.199Z,60.364688,5.340875,58.7
2019-08-10T17:07:06.099Z,60.363990,5.340977,59.4
2019-08-10T17:07:17.049Z,60.363260,5.341330,60.6
2019-08-10T17:07:27.524Z,60.362550,5.341595,60.9
2019-08-10T17:07:38.262Z,60.361692,5.341532,61.9
2019-08-10T17:07:48.631Z,60.360882,5.341135,62.4
2019-08-10T17:07:59.315Z,60.360037,5.340692,62.0
2019-08-10T17:08:10.157Z,60.359207,5.340363,61.7
2019-08-10T17:08:21.078Z,60.358255,5.340185,60.5
2019-08-10T17:08:32.039Z,60.357198,5.340023,58.6
2019-08-10T17:08:42.519Z,60.356998,5.340293,57.2
2019-08-10T17:08:52.759Z,60.356815,5.340333,55.0
2019-08-10T17:09:03.379Z,60.356055,5.339990,54.2
2019-08-10T17:09:14.189Z,60.355182,5.339260,52.4
2019-08-10T17:09:25.094Z,60.354265,5.338577,50.1
2019-08-10T17:09:36.047Z,60.353398,5.338055,47.6
2019-08-10T17:09:47.023Z,60.352497,5.337868,45.4
2019-08-10T17:09:58.011Z,60.351547,5.337697,42.7
2019-08-10T17:10:08.505Z,60.350737,5.337488,40.3
2019-08-10T17:10:19.252Z,60.350202,5.337120,36.4
2019-08-10T17:10:30.126Z,60.349968,5.337383,33.6
2019-08-10T17:10:41.063Z,60.349815,5.337922,32.4
2019-08-10T17:10:52.031Z,60.349318,5.337827,33.9
2019-08-10T17:11:03.015Z,60.348480,5.337748,36.1
2019-08-10T17:11:14.007Z,60.347520,5.338020,36.3
2019-08-10T17:11:25.003Z,60.346618,5.338933,36.0
2019-08-10T17:11:35.501Z,60.345932,5.339545,35.2
2019-08-10T17:11:45.750Z,60.345425,5.339468,33.2
2019-08-10T17:11:56.375Z,60.345000,5.339262,33.0
2019-08-10T17:12:07.187Z,60.344408,5.339427,33.6
2019-08-10T17:12:17.593Z,60.344050,5.340272,34.8
2019-08-10T17:12:28.296Z,60.343590,5.341172,32.9
2019-08-10T17:12:39.148Z,60.342988,5.341558,31.5
2019-08-10T17:12:49.574Z,60.342442,5.342027,30.2
2019-08-10T17:13:00.287Z,60.341830,5.342262,27.2
2019-08-10T17:13:11.143Z,60.341205,5.342478,24.4
2019-08-10T17:13:22.071Z,60.340733,5.342582,22.4
2019-08-10T17:13:32.535Z,60.340347,5.342985,20.4
2019-08-10T17:13:43.267Z,60.340028,5.343723,18.9
2019-08-10T17:13:54.133Z,60.339652,5.344243,19.0
2019-08-10T17:14:04.566Z,60.339235,5.343943,22.3
2019-08-10T17:14:15.283Z,60.338760,5.343535,26.6
2019-08-10T17:14:26.141Z,60.338163,5.343105,30.5
2019-08-10T17:14:37.070Z,60.337562,5.342977,31.6
2019-08-10T17:14:48.035Z,60.337005,5.343482,32.0
2019-08-10T17:14:59.017Z,60.336555,5.344123,34.1
2019-08-10T17:15:09.508Z,60.336742,5.345305,36.9
2019-08-10T17:15:20.254Z,60.336622,5.346657,37.8
2019-08-10T17:15:31.127Z,60.336507,5.347742,38.7
2019-08-10T17:15:42.063Z,60.336358,5.348928,38.8
2019-08-10T17:15:53.031Z,60.336318,5.350155,40.2
2019-08-10T17:16:04.015Z,60.336668,5.350530,43.5
2019-08-10T17:16:14.507Z,60.336960,5.350800,46.6
2019-08-10T17:16:25.253Z,60.337133,5.351378,49.0
2019-08-10T17:16:36.126Z,60.337373,5.351832,50.7
2019-08-10T17:16:46.563Z,60.337660,5.351983,53.1
2019-08-10T17:16:57.281Z,60.337947,5.352352,55.2
2019-08-10T17:17:07.640Z,60.338118,5.352972,57.4
