423
time,lat,lon,elevation
2019-08-10T17:00:00.000Z,60.377625,5.328243,56.2
2019-08-10T17:00:00.220Z,60.377940,5.327957,18.2
2019-08-10T17:00:01.280Z,60.377845,5.328030,6.6
2019-08-10T17:00:01.500Z,60.377522,5.329218,9.2
2019-08-10T17:00:01.720Z,60.377170,5.330782,10.1
2019-08-10T17:00:01.940Z,60.376908,5.332230,9.5
2019-08-10T17:00:02.160Z,60.376713,5.333428,10.6
2019-08-10T17:00:02.380Z,60.376448,5.334072,11.4
2019-08-10T17:00:02.600Z,60.376063,5.334023,17.3
2019-08-10T17:00:02.820Z,60.375777,5.334868,24.0
2019-08-10T17:00:03.040Z,60.375480,5.335830,31.2
2019-08-10T17:00:03.260Z,60.375017,5.336097,38.3
2019-08-10T17:00:03.480Z,60.374648,5.336258,47.7
2019-08-10T17:00:03.700Z,60.374255,5.336447,53.8
2019-08-10T17:00:03.920Z,60.373877,5.336645,61.2
2019-08-10T17:00:04.140Z,60.373507,5.336798,68.5
2019-08-10T17:00:04.360Z,60.373100,5.336995,72.7
2019-08-10T17:00:04.580Z,60.372702,5.337145,78.1
2019-08-10T17:00:04.800Z,60.372253,5.337318,81.1
2019-08-10T17:00:05.020Z,60.371575,5.337375,59.8
2019-08-10T17:00:05.240Z,60.371140,5.337445,56.1
2019-08-10T17:00:06.580Z,60.371025,5.337478,54.4
2019-08-10T17:00:06.800Z,60.370467,5.337705,55.1
2019-08-10T17:00:07.000Z,60.369763,5.338027,55.9
2019-08-10T17:00:07.220Z,60.369077,5.338388,56.8
2019-08-10T17:00:07.440Z,60.368430,5.338723,57.5
2019-08-10T17:00:07.660Z,60.367703,5.339110,57.8
2019-08-10T17:00:07.880Z,60.366938,5.339562,58.4
2019-08-10T17:00:08.100Z,60.366107,5.340127,58.7
2019-08-10T17:00:08.300Z,60.365390,5.340515,58.5
2019-08-10T17:00:08.520Z,60.364688,5.340875,58.7
2019-08-10T17:00:08.740Z,60.363990,5.340977,59.4
2019-08-10T17:00:08.960Z,60.363260,5.341330,60.6
2019-08-10T17:00:09.160Z,60.362550,5.341595,60.9
2019-08-10T17:00:09.380Z,60.361692,5.341532,61.9
2019-08-10T17:00:09.580Z,60.360882,5.341135,62.4
2019-08-10T17:00:09.800Z,60.360037,5.340692,62.0
2019-08-10T17:00:10.020Z,60.359207,5.340363,61.7
2019-08-10T17:00:10.240Z,60.358255,5.340185,60.5
2019-08-10T17:00:10.460Z,60.357198,5.340023,58.6
2019-08-10T17:00:10.660Z,60.356998,5.340293,57.2
2019-08-10T17:00:10.860Z,60.356815,5.340333,55.0
2019-08-10T17:00:11.080Z,60.356055,5.339990,54.2
2019-08-10T17:00:11.300Z,60.355182,5.339260,52.4
2019-08-10T17:00:11.520Z,60.354265,5.338577,50.1
2019-08-10T17:00:11.740Z,60.353398,5.338055,47.6
2019-08-10T17:00:11.960Z,60.352497,5.337868,45.4
2019-08-10T17:00:12.180Z,60.351547,5.337697,42.7
2019-08-10T17:00:12.380Z,60.350737,5.337488,40.3
2019-08-10T17:00:12.600Z,60.350202,5.337120,36.4
2019-08-10T17:00:12.820Z,60.349968,5.337383,33.6
2019-08-10T17:00:13.040Z,60.349815,5.337922,32.4
2019-08-10T17:00:13.260Z,60.349318,5.337827,33.9
2019-08-10T17:00:13.480Z,60.348480,5.337748,36.1
2019-08-10T17:00:13.700Z,60.347520,5.338020,36.3
2019-08-10T17:00:13.920Z,60.346618,5.338933,36.0
2019-08-10T17:00:14.120Z,60.345932,5.339545,35.2
2019-08-10T17:00:14.320Z,60.345425,5.339468,33.2
2019-08-10T17:00:14.540Z,60.345000,5.339262,33.0
2019-08-10T17:00:14.760Z,60.344408,5.339427,33.6
2019-08-10T17:00:14.960Z,60.344050,5.340272,34.8
2019-08-10T17:00:15.180Z,60.343590,5.341172,32.9
2019-08-10T17:00:15.400Z,60.342988,5.341558,31.5
2019-08-10T17:00:15.600Z,60.342442,5.342027,30.2
